| Combos | Chicken | Onion | Tomato |  Ginger  |  Garlic  |   Salt   |      Oil      | Water |
|--------|---------|-------|--------|----------|----------|----------|---------------|-------|
|   1    |  500 gm |   2   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   2    |  500 gm |   2   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   3    |  500 gm |   2   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   4    |  500 gm |   2   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   5    |  500 gm |   2   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   6    |  500 gm |   2   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   7    |  500 gm |   2   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   8    |  500 gm |   2   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   9    |  500 gm |   2   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   10   |  500 gm |   2   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   11   |  500 gm |   2   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   12   |  500 gm |   2   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   13   |  500 gm |   3   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   14   |  500 gm |   3   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   15   |  500 gm |   3   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   16   |  500 gm |   3   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   17   |  500 gm |   3   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   18   |  500 gm |   3   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   19   |  500 gm |   3   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   20   |  500 gm |   3   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   21   |  500 gm |   3   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   22   |  500 gm |   3   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   23   |  500 gm |   3   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   24   |  500 gm |   3   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   25   |  500 gm |   4   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   26   |  500 gm |   4   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   27   |  500 gm |   4   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   28   |  500 gm |   4   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   29   |  500 gm |   4   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   30   |  500 gm |   4   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   31   |  500 gm |   4   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   32   |  500 gm |   4   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   33   |  500 gm |   4   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   34   |  500 gm |   4   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   35   |  500 gm |   4   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   36   |  500 gm |   4   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   37   |  750 gm |   2   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   38   |  750 gm |   2   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   39   |  750 gm |   2   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   40   |  750 gm |   2   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   41   |  750 gm |   2   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   42   |  750 gm |   2   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   43   |  750 gm |   2   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   44   |  750 gm |   2   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   45   |  750 gm |   2   |   4    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   46   |  750 gm |   2   |   4    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   47   |  750 gm |   2   |   4    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   48   |  750 gm |   2   |   4    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   49   |  750 gm |   3   |   2    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   50   |  750 gm |   3   |   2    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   51   |  750 gm |   3   |   2    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   52   |  750 gm |   3   |   2    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   53   |  750 gm |   3   |   3    |  1 inch  | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   54   |  750 gm |   3   |   3    |  1 inch  | 4 cloves | to taste | 2 tablespoons | 1 cup |
|   55   |  750 gm |   3   |   3    | 2 inches | 3 cloves | to taste | 2 tablespoons | 1 cup |
|   56   |  750 gm |   3   |   3    | 2 inches | 4 cloves | to taste | 2 tablespoons | 1 cup |
