| N             | Carrot        | Potatoes      | Peas          | Cauliflower    | Onion         | Tomato        | Ginger        | Garlic        | Ghee             | Salt          | Water         | 
|---------------|---------------|---------------|---------------|----------------|---------------|---------------|---------------|---------------|------------------|---------------|---------------|
| 1             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 2             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 3             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 4             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 5             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 6             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 7             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 8             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 9             | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 10            | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 11            | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 12            | 1             | 1             | 1/2 cup       | 100 gm         | 1             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 13            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 14            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 15            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 16            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 17            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 18            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 19            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 20            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 21            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 22            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 23            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 24            | 1             | 1             | 1/2 cup       | 100 gm         | 2             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 25            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 26            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 27            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 28            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 29            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 30            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 31            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 32            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 33            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 34            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 3             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 35            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 3             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 36            | 1             | 1             | 1/2 cup       | 100 gm         | 3             | 3             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 37            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 1             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 38            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 1             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 39            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 1             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 40            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 1             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 41            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 2             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 42            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 2             | 1 inch        | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 43            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 2             | 2 inches      | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 44            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 2             | 2 inches      | 4 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
| 45            | 1             | 1             | 1/2 cup       | 150 gm         | 1             | 3             | 1 inch        | 3 cloves      | 2 tablespoons    | to taste      | 2 cups        | 
