| Combos | Carrot | Broccoli | Onion |  Garlic  |   Salt   |
|--------|--------|----------|-------|----------|----------|
|   1    |   1    |  100 gm  |   1   | 3 cloves | to taste |
|   2    |   1    |  100 gm  |   1   | 4 cloves | to taste |
|   3    |   1    |  100 gm  |   2   | 3 cloves | to taste |
|   4    |   1    |  100 gm  |   2   | 4 cloves | to taste |
|   5    |   1    |  100 gm  |   3   | 3 cloves | to taste |
|   6    |   1    |  100 gm  |   3   | 4 cloves | to taste |
|   7    |   1    |  150 gm  |   1   | 3 cloves | to taste |
|   8    |   1    |  150 gm  |   1   | 4 cloves | to taste |
|   9    |   1    |  150 gm  |   2   | 3 cloves | to taste |
|   10   |   1    |  150 gm  |   2   | 4 cloves | to taste |
|   11   |   1    |  150 gm  |   3   | 3 cloves | to taste |
|   12   |   1    |  150 gm  |   3   | 4 cloves | to taste |
|   13   |   1    |  200 gm  |   1   | 3 cloves | to taste |
|   14   |   1    |  200 gm  |   1   | 4 cloves | to taste |
|   15   |   1    |  200 gm  |   2   | 3 cloves | to taste |
|   16   |   1    |  200 gm  |   2   | 4 cloves | to taste |
|   17   |   1    |  200 gm  |   3   | 3 cloves | to taste |
|   18   |   1    |  200 gm  |   3   | 4 cloves | to taste |
|   19   |   2    |  100 gm  |   1   | 3 cloves | to taste |
|   20   |   2    |  100 gm  |   1   | 4 cloves | to taste |
|   21   |   2    |  100 gm  |   2   | 3 cloves | to taste |
|   22   |   2    |  100 gm  |   2   | 4 cloves | to taste |
|   23   |   2    |  100 gm  |   3   | 3 cloves | to taste |
|   24   |   2    |  100 gm  |   3   | 4 cloves | to taste |
|   25   |   2    |  150 gm  |   1   | 3 cloves | to taste |
|   26   |   2    |  150 gm  |   1   | 4 cloves | to taste |
|   27   |   2    |  150 gm  |   2   | 3 cloves | to taste |
|   28   |   2    |  150 gm  |   2   | 4 cloves | to taste |
|   29   |   2    |  150 gm  |   3   | 3 cloves | to taste |
|   30   |   2    |  150 gm  |   3   | 4 cloves | to taste |
|   31   |   2    |  200 gm  |   1   | 3 cloves | to taste |
|   32   |   2    |  200 gm  |   1   | 4 cloves | to taste |
|   33   |   2    |  200 gm  |   2   | 3 cloves | to taste |
|   34   |   2    |  200 gm  |   2   | 4 cloves | to taste |
|   35   |   2    |  200 gm  |   3   | 3 cloves | to taste |
|   36   |   2    |  200 gm  |   3   | 4 cloves | to taste |
|   37   |   3    |  100 gm  |   1   | 3 cloves | to taste |
|   38   |   3    |  100 gm  |   1   | 4 cloves | to taste |
|   39   |   3    |  100 gm  |   2   | 3 cloves | to taste |
|   40   |   3    |  100 gm  |   2   | 4 cloves | to taste |
|   41   |   3    |  100 gm  |   3   | 3 cloves | to taste |
|   42   |   3    |  100 gm  |   3   | 4 cloves | to taste |
|   43   |   3    |  150 gm  |   1   | 3 cloves | to taste |
|   44   |   3    |  150 gm  |   1   | 4 cloves | to taste |
|   45   |   3    |  150 gm  |   2   | 3 cloves | to taste |
|   46   |   3    |  150 gm  |   2   | 4 cloves | to taste |
|   47   |   3    |  150 gm  |   3   | 3 cloves | to taste |
|   48   |   3    |  150 gm  |   3   | 4 cloves | to taste |
|   49   |   3    |  200 gm  |   1   | 3 cloves | to taste |
|   50   |   3    |  200 gm  |   1   | 4 cloves | to taste |
|   51   |   3    |  200 gm  |   2   | 3 cloves | to taste |
|   52   |   3    |  200 gm  |   2   | 4 cloves | to taste |
|   53   |   3    |  200 gm  |   3   | 3 cloves | to taste |
|   54   |   3    |  200 gm  |   3   | 4 cloves | to taste |
